size,old,branchy,branchless,prefetch,careful,lowerBound,upperBound,equalRange,improvedLowerBound,improvedUpperBound,improvedEqualRange,inlineAsm,inlinePrefetch,alexandrescuLowerBound,alexandrescuUpperBound
664,23.2511,21.1172,9.5261,10.6369,10.1841,21.6276,20.4858,30.7082,9.8781,9.8429,21.3344,7.3066,8.4088,11.5872,11.6150
672,24.2614,21.2669,9.5281,10.6219,10.1820,21.6705,20.7447,30.8003,9.8803,9.8438,21.2499,7.3182,8.4131,11.9360,11.9211
680,23.0553,21.3538,9.5271,10.6251,10.1875,21.5816,20.4184,30.7681,9.8824,9.8417,21.6298,7.3022,8.4185,11.9189,12.0731
688,24.6166,21.8138,9.5249,10.6241,12.6167,21.8300,23.1537,31.1952,9.8868,9.8535,21.2917,7.3215,8.4163,11.8108,11.7949
696,23.0489,21.1868,9.5099,10.5726,10.1350,21.3677,20.3050,30.6150,9.8953,9.8610,21.2562,7.3322,8.4216,11.5540,11.5829
704,26.2456,21.5731,9.5261,10.6229,10.1875,21.6822,20.9578,30.5669,9.8782,9.8417,20.6742,7.3000,8.4195,11.8655,11.9221
712,23.3774,21.6202,9.5239,10.6231,10.1820,21.7529,20.8250,30.7767,9.8772,9.8481,20.8957,7.3022,8.5190,11.4931,11.6129
720,24.1694,21.6801,9.5293,10.6263,10.1863,21.9306,21.0048,31.1511,9.8792,9.8578,20.8421,7.3130,8.4173,11.6899,11.6911
728,23.2832,24.5311,9.5293,10.6263,10.1809,22.1745,20.9545,31.3267,9.8235,9.8032,20.8433,7.2840,8.3659,9.9306,9.9274
736,23.2287,21.8063,9.5239,10.6284,10.1852,22.2538,21.0059,32.0652,9.8804,9.8449,21.3120,7.3119,8.4173,11.1955,11.1944
744,23.4042,21.9530,9.5335,10.6272,10.1788,21.5142,23.8333,31.7345,9.8845,9.8493,21.1301,7.3246,8.4045,11.8687,10.3383
752,23.1409,22.1018,9.5357,10.6251,10.1875,21.3580,20.8592,31.3717,9.8813,9.8461,20.9331,7.3386,8.4088,11.1024,11.0607
760,23.2618,22.1093,9.5314,10.6241,10.1843,22.9343,20.7052,31.2025,9.8856,9.8482,22.0826,7.3322,8.4163,10.0215,10.0375
768,23.3614,22.2227,9.5282,10.6251,10.1874,22.1596,20.9781,31.4862,9.8824,9.8493,21.3441,7.3076,8.4109,10.1553,10.1050
776,23.3624,21.3719,9.5239,10.6295,10.1820,22.2837,21.0444,31.7462,9.9391,10.7428,21.4244,7.3568,8.4559,10.3276,10.2409
784,23.8119,21.8514,9.5764,10.6818,10.2378,25.6334,21.4767,31.9261,9.9348,9.8952,21.3419,7.3578,8.4570,10.5449,10.5598
792,24.5622,21.8097,9.5796,10.6839,10.2538,22.3758,21.2596,33.0947,9.9348,9.8995,21.5089,7.3429,8.4495,11.5798,10.6498
800,23.7434,21.8182,9.5742,10.6829,10.2367,22.2880,21.3986,31.8726,9.9338,9.8984,21.4382,7.3364,8.4568,10.7129,10.6957
808,24.0174,21.9176,9.5741,10.6797,10.2367,22.4228,21.6234,33.9433,9.9327,9.8900,21.6127,7.3621,8.4483,10.0836,10.0559
816,24.2806,21.9315,9.5795,10.6787,10.2645,23.1912,21.9818,32.2878,9.9937,9.9423,21.7967,7.3729,8.4977,9.3067,9.3580
824,24.6049,22.6411,9.6266,10.7407,10.2902,22.9836,22.7631,32.8560,9.8342,9.7936,21.2981,7.2947,8.4708,9.1076,9.1867
832,24.1555,21.9755,9.4854,10.5758,10.9590,22.5694,24.7847,32.4013,9.8835,9.8493,21.4735,7.3171,8.5126,8.7930,8.9054
840,24.4541,22.1082,9.5314,10.6261,10.1917,22.5887,22.5256,32.6944,9.8836,9.8449,21.6427,7.3215,8.4109,8.6346,8.7363
