size,old,branchy,branchless,prefetch,careful,lowerBound,upperBound,equalRange,improvedLowerBound,improvedUpperBound,improvedEqualRange
1504,41.4950,28.6433,11.1069,11.6940,10.5708,34.0951,30.3937,32.6250,9.9969,10.0135,25.9253
1512,41.2344,30.1041,10.5730,11.5988,10.0095,30.4192,30.3405,34.6095,12.9161,10.0560,24.3219
1520,38.8661,28.5959,9.7516,11.6749,10.0260,30.7203,30.1974,38.1647,10.0193,10.0348,20.8115
1528,40.5925,29.9071,9.4801,11.6512,10.0800,30.4738,35.6295,36.8873,15.6252,10.4735,21.5853
1536,49.5443,37.9423,17.4186,16.0791,14.5371,42.9231,43.2949,56.7795,13.7804,13.7371,28.9088
1544,49.4585,36.6530,11.8987,16.1013,13.7094,33.2393,31.1892,33.7399,9.9509,10.0216,20.7836
1552,42.0021,33.9996,10.4384,11.5892,10.0044,30.1827,29.9167,33.3831,11.0917,12.2843,22.1340
1560,41.6670,30.0507,16.0272,11.4407,10.0292,30.3060,31.6016,39.8159,10.6125,9.9918,20.8423
1568,41.0308,28.0992,9.7476,11.6210,10.0658,31.8840,31.8125,34.1545,9.9022,9.9751,20.7634
1576,41.6804,31.3546,10.3735,11.6786,10.0688,31.0087,29.1061,32.5551,10.2318,12.1150,36.2327
1584,42.3342,27.4053,9.6473,11.6581,10.0199,30.9769,30.6946,33.8302,9.9636,10.0543,20.8219
1592,42.4846,29.1045,10.1263,11.6034,10.0889,30.2506,29.7787,36.3151,10.4885,9.9740,20.7733
1600,58.8429,36.0760,15.8364,15.5148,13.3824,45.9426,43.9000,55.4677,15.2001,13.8129,29.7386
1608,42.2932,28.5388,10.9443,11.6046,10.0253,28.5514,29.3372,32.5688,9.9365,10.0387,20.7620
1616,42.0686,28.3954,10.3726,17.7830,11.0599,32.0322,33.1711,33.9382,10.0321,10.0521,20.7788
1624,41.1351,30.7311,10.1986,11.5890,10.6134,34.0421,34.1898,37.3824,10.0033,10.0255,22.3892
1632,43.1876,30.9275,10.4110,19.6370,10.7145,31.8755,32.0430,41.3824,9.9766,10.1976,20.7496
1640,42.3743,30.5258,9.6390,11.5115,10.0184,31.3882,31.1848,31.6835,9.9424,9.9954,20.8019
1648,40.9054,30.7109,9.5399,12.9224,10.2887,29.4917,29.9305,33.3053,9.8999,10.0225,20.8314
1656,43.1487,34.6976,10.2621,13.1415,11.0474,31.1626,30.1603,33.1028,9.9832,11.0991,22.6218
1664,43.5845,29.1895,11.9725,11.6071,10.0094,29.6449,29.2875,33.8120,9.9326,10.0612,20.7791
1672,50.4213,37.9954,20.1740,22.8964,20.2332,47.8385,48.0957,63.2981,20.5173,20.4001,38.9347
1680,39.7281,30.1779,9.8507,11.6249,10.0065,31.1945,29.2849,33.2961,9.9781,10.0215,20.7856
1688,40.6848,28.8489,9.8556,11.5865,10.0439,37.7975,29.2028,33.2539,9.9263,9.9705,20.7776
1696,43.2241,30.1544,10.4275,11.6993,13.5293,34.2159,30.9530,33.8528,10.0273,10.0818,20.7672
1704,42.2876,29.9526,9.9364,11.5402,10.0231,29.7010,32.2930,39.7827,9.9578,9.9874,20.7687
1712,43.6519,30.8057,10.0316,12.1934,11.0570,31.3616,30.7623,34.6206,9.9312,10.4504,23.1912
1720,47.7974,30.5234,9.3252,12.3610,10.4635,30.7325,30.5630,33.9648,9.9100,9.9692,20.7888
1728,42.1859,29.8417,9.9755,11.5787,10.0184,30.8489,30.8560,33.7780,15.1613,18.0968,45.5326
1736,43.2600,31.7863,10.0743,11.6796,10.0175,34.7096,34.9938,39.6830,12.7708,11.9810,22.6467
1744,43.1077,28.4910,9.2163,11.6863,10.0055,31.3995,31.2195,34.4192,9.9329,10.0148,20.7788
1752,43.8307,31.2078,10.1661,11.6484,9.9963,30.7213,31.0254,34.2795,9.8990,9.9757,20.7855
1760,43.0948,32.6497,9.5017,22.7086,15.4741,33.7462,34.4688,38.4850,21.2959,21.0631,45.3745
1768,58.7047,30.3711,27.5181,12.9124,11.0713,34.5941,35.1122,42.0302,10.9524,10.9966,23.0865
1776,44.3319,29.7585,9.5697,12.2920,10.0137,31.4683,28.9031,32.5535,9.9358,9.9534,20.7712
