size,old,branchy,branchless,prefetch,careful,lowerBound,upperBound,equalRange,improvedLowerBound,improvedUpperBound,improvedEqualRange
573332,1.0000,0.8605,0.3256,0.3488,0.3140,0.8837,0.8837,1.7907,0.3256,0.3256,0.6512
576216,1.0000,0.9655,0.3333,0.3793,0.3448,0.8621,0.9080,1.6667,0.3563,0.4368,0.7126
579112,1.0000,0.8352,0.3187,0.3736,0.3407,0.8352,0.8681,1.6264,0.3516,0.3516,0.7033
582024,1.0000,0.8444,0.3111,0.3444,0.3222,0.8444,0.8778,1.6333,0.3222,0.3222,0.6333
584952,1.0000,0.8427,0.3258,0.3483,0.3146,0.8427,0.8652,1.6067,0.3258,0.3258,0.6517
587892,1.0000,0.8636,0.3182,0.3523,0.3182,0.8636,0.9432,2.0114,0.3295,0.3295,0.6591
590848,1.0000,0.8621,0.3218,0.3563,0.3218,0.8736,0.9080,1.6322,0.3333,0.3333,0.6552
593820,1.0000,0.8621,0.3218,0.3563,0.5862,0.8736,0.8966,1.6552,0.3333,0.3333,0.6552
596808,1.0000,0.8427,0.3146,0.3371,0.3146,0.8539,0.8539,1.8539,0.3258,0.3146,0.6292
599808,1.0000,0.8523,0.3182,0.3409,0.3068,1.3068,0.9091,1.6591,0.3523,0.3636,0.6932
602824,1.0000,0.8261,0.3043,0.3261,0.3043,0.9130,0.8587,1.5761,0.3152,0.3152,0.6087
605856,1.0000,0.8471,0.3176,0.3529,0.3176,0.8706,0.9059,1.6118,0.3294,0.3294,0.6471
608904,1.0000,0.8706,0.3294,0.3529,0.3294,0.8824,0.9059,1.6471,0.3412,0.3412,0.6588
611964,1.0000,0.8523,0.3182,0.3409,0.3068,0.8636,0.8636,2.0114,0.3295,0.3182,0.6364
615040,1.0000,0.8721,0.3256,0.3488,0.3140,0.9186,0.8953,1.6512,0.3256,0.3256,0.6512
618132,1.0000,0.8409,0.3182,0.3409,0.3068,1.2841,1.8636,2.1477,0.3295,0.3182,0.6364
621240,1.0000,0.8315,0.3258,0.3708,0.3371,0.8652,0.8764,1.5955,0.3596,0.3596,0.6966
624364,1.0000,0.8409,0.3182,0.3409,0.3068,0.8636,0.8977,1.5909,0.3182,0.3182,0.6364
627504,1.0000,0.8488,0.3256,0.3488,0.3256,0.8721,0.9186,1.6395,0.3256,0.3256,0.6512
630660,1.0000,0.8605,0.3256,0.3488,0.3140,0.8721,0.8953,1.6279,0.3256,0.3256,0.6512
633832,1.0000,0.8409,0.3182,0.3409,0.3068,0.8523,0.8636,1.6136,0.3182,0.3182,0.6364
637020,1.0000,0.8506,0.3333,0.3793,0.3448,0.8851,1.4713,1.7241,0.3678,0.3678,0.7126
640224,1.0000,0.8315,0.3146,0.3371,0.3146,0.8427,0.8989,1.5955,0.3258,0.3258,0.6292
643444,1.0000,0.8941,0.3294,0.3529,0.3294,0.9059,0.8941,1.6588,0.3412,0.3412,0.6706
646680,1.0000,0.8571,0.3077,0.3297,0.3077,0.8681,0.8462,1.5824,0.3187,0.3187,0.7253
649932,1.0000,0.8222,0.3222,0.3333,0.3000,0.8556,0.8889,1.6111,0.3111,0.3111,0.6222
653200,1.0000,0.5515,0.2132,0.2426,0.2279,0.5882,0.5882,1.0735,0.2353,0.2353,0.4632
656484,1.0000,0.8478,0.3152,0.3261,0.3043,0.8696,0.8804,1.6957,0.3152,0.3152,0.6087
659784,1.0000,0.8000,0.3053,0.3158,0.2947,0.9158,0.8526,1.4842,0.3053,0.3053,0.6000
663100,1.0000,0.6638,0.2500,0.2845,0.2672,0.6897,0.7069,2.3448,0.2500,0.2500,0.4828
666436,1.0000,0.8462,0.3187,0.3407,0.3077,0.9011,0.9011,1.6593,0.3187,0.3187,0.6374
669788,1.0000,0.7048,0.2952,0.2857,0.2667,0.7429,0.7714,1.3429,0.2762,0.2762,0.5333
673156,1.0000,0.8315,0.3258,0.3708,0.3483,0.8989,0.8989,1.5730,0.3596,0.3596,0.7079
676540,1.0000,0.8061,0.6531,0.3571,0.3265,0.8367,0.8673,1.5510,0.3367,0.3367,0.6735
